"links",,,"Original_ID",,,"Original_ID"
"https://www.google.com/search?q=Investment%20Revenue%20Realty%20%28IRR%29","INDEX 1",1,"INDEX 1","Canada Overseas Investments Limited","https://www.google.com/search?q=Canada%20Overseas%20Investments%20Limited","INDEX 1"
"https://www.google.com/search?q=Letovsky%20Real%20Estate%20Corporation","INDEX 2",2,"INDEX 2","Triple Group of Companies","https://www.google.com/search?q=Triple%20Group%20of%20Companies","INDEX 2"
"https://www.google.com/search?q=JD%20Lawrence%20","INDEX 3",3,"INDEX 3","Canadian & Brazilian Investments","https://www.google.com/search?q=Canadian%20%26%20Brazilian%20Investments","INDEX 3"
"https://www.google.com/search?q=Jonatan%20Lungerston%20","INDEX 4",4,"INDEX 4","Sheppard Investors AG","https://www.google.com/search?q=Sheppard%20Investors%20AG","INDEX 4"
"https://www.google.com/search?q=%20Adler%20Partners","INDEX 5",5,"INDEX 5","MIRA","https://www.google.com/search?q=MIRA","INDEX 5"
"https://www.google.com/search?q=CanAm%20Enterprises","INDEX 6",6,"INDEX 6","HDN Family Office","https://www.google.com/search?q=HDN%20Family%20Office","INDEX 6"
"https://www.google.com/search?q=Cobra%20Development%20Fund","INDEX 7",7,"INDEX 7"," Sugoi Development USA ","https://www.google.com/search?q=%C2%A0Sugoi%20Development%20USA%C2%A0","INDEX 7"
"https://www.google.com/search?q=Encore%20Capital%20Management","INDEX 8",8,"INDEX 8"," SparrowHawk ","https://www.google.com/search?q=%C2%A0SparrowHawk%C2%A0","INDEX 8"
"https://www.google.com/search?q=Grupo%20Los%20Pueblos","INDEX 9",9,"INDEX 9"," Triple Group of Companies ","https://www.google.com/search?q=%C2%A0Triple%20Group%20of%20Companies%C2%A0","INDEX 9"
"https://www.google.com/search?q=Lloyd%20Jones%20Capital","INDEX 10",10,"INDEX 10"," Tinello Capital ","https://www.google.com/search?q=%C2%A0Tinello%20Capital%C2%A0","INDEX 10"
"https://www.google.com/search?q=NAI%20Panamericas","INDEX 11",11,"INDEX 11"," Inversiones Marchigue ","https://www.google.com/search?q=%C2%A0Inversiones%20Marchigue%C2%A0","INDEX 11"
"https://www.google.com/search?q=Nucleos%20Inmobiliaria","INDEX 12",12,"INDEX 12"," Inversiones Carenpa ","https://www.google.com/search?q=%C2%A0Inversiones%20Carenpa%C2%A0","INDEX 12"
"https://www.google.com/search?q=Range%20Capital%20Fund","INDEX 13",13,"INDEX 13"," Inversiones Fray Leon ","https://www.google.com/search?q=%C2%A0Inversiones%20Fray%20Leon%C2%A0","INDEX 13"
"https://www.google.com/search?q=Sentinel%20Real%20Estate%20Group","INDEX 14",14,"INDEX 14"," Genspring ","https://www.google.com/search?q=%C2%A0Genspring%C2%A0","INDEX 14"
"https://www.google.com/search?q=Sixty%20West%20Funds","INDEX 15",15,"INDEX 15"," Labrum Wealth Management ","https://www.google.com/search?q=%C2%A0Labrum%20Wealth%20Management%C2%A0","INDEX 15"
"https://www.google.com/search?q=Savills","INDEX 16",16,"INDEX 16"," Cheltenham Investments ","https://www.google.com/search?q=%C2%A0Cheltenham%20Investments%C2%A0","INDEX 16"
"https://www.google.com/search?q=SparrowHawk%20Real%20Estate","INDEX 17",17,"INDEX 17"," Muniz Family Office ","https://www.google.com/search?q=%C2%A0Muniz%20Family%20Office%C2%A0","INDEX 17"
"https://www.google.com/search?q=Sugoi%20Development%20USA","INDEX 18",18,"INDEX 18"," MMJ Partners ","https://www.google.com/search?q=%C2%A0MMJ%20Partners%C2%A0","INDEX 18"
"https://www.google.com/search?q=Titan%20Fund%20Management","INDEX 19",19,"INDEX 19"," AM Global Family Investment Office ","https://www.google.com/search?q=%C2%A0AM%20Global%20Family%20Investment%20Office%C2%A0","INDEX 19"
